class,t,i,1,r,e,2,0,a,s,function,return,var,new
malware,0.0025205308459291917,0.003543746765127865,0.018853986859197584,0.21588597895701217,0.0014843137143201715,0.02453994498452424,0.012658349674152558,0.00931125012202401,0.0015055581949988165,0.0010027755800213827,0.0013826300047983802,0.0003102679207553544,0.0001856992648933485
benign,0.06714867872851699,0.02260899711869084,0.006649553315334287,0.036496914723887,0.046930882408619805,0.0021213204472675497,0.007185709856629045,0.02179182428975322,0.012514156458523926,0.01498430577086447,0.01770314289961425,0.00632431319981991,0.002931285133219215
malware,0.04545071722176431,0.043722114311491894,0.0288870934094409,0.045064728362291265,0.025774129613001427,0.021956563593467454,0.014030036254379877,0.012764504451244668,0.019607269516263657,0.0,0.0,0.007273257305148773,0.0
malware,0.04343068534524145,0.048742060769478006,0.023002685492702936,0.03588487628849119,0.024628612741312474,0.013987144215097787,0.016758098859398187,0.006098596571150231,0.024981113754054436,0.0,0.0,0.013900002849839879,0.0
malware,0.002231028356776102,0.002503872984733459,0.019969797165754092,0.20830433324997455,0.0020558987519503137,0.029279595553008637,0.013601607635881405,0.008771953972202385,0.0019249145872130987,0.0009615656246780382,0.001325809593642282,0.0002975171842859563,0.0001780677882538958
malware,0.012762850463465335,0.009074635309966092,0.04761203215269859,0.0038513581025126833,0.008968255491406374,0.08095625633866223,0.03597138767093989,0.02477879526779097,0.008139076670294568,0.0028699539598567685,0.003957101206237271,0.0008879899605945407,0.0005314731942433142
malware,0.006526469109257595,0.009702752143807097,0.051661769057382005,0.008235873246538962,0.0065609009351857,0.08885276038279331,0.030494245465462276,0.025994018172115736,0.007166712962228732,0.003068602867824996,0.004230998921787393,0.0009494537465737623,0.000568260045575274
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1531511794941748,0.0,0.0,0.0
malware,0.21702493357429828,0.0022249123259102384,0.01959992136656345,0.004586469395452129,0.0024592179882227693,0.025325835087691848,0.011155539181552048,0.008119433304785808,0.0028270047369603024,0.0009968419967076466,0.0013744487621664369,0.00030843201589881387,0.00018460045267504465
malware,0.01060242770634285,0.007932704284363509,0.04941625744182837,0.013432494379236305,0.007515512477570489,0.06999895409635284,0.03381923748117247,0.02878361130325877,0.010672311255687813,0.0030464068253814158,0.004200394951286218,0.0009425860883706971,0.0005641496654987801
malware,0.0,0.044763117033194084,0.01774492880865655,0.0,0.00791633980970758,0.0,0.004309225420988105,0.0,0.0,0.0,0.0,0.06850715690278225,0.017827129429761453
malware,0.01714369158364794,0.0,0.021792017835192256,0.0,0.0,0.016563723412615798,0.007938046828135982,0.014444044510618965,0.04437434679996512,0.008060588394430253,0.0,0.03292105938119971,0.04925917342434086
benign,0.06066911072025092,0.046960386975795264,0.0047234543939533155,0.020581071336727295,0.05943600127788032,0.0008760433309816434,0.009704994694242255,0.020046474202000092,0.006530883318018146,0.015583470333022285,0.011863779864709649,0.004381428759614621,0.004605766383058788
malware,0.010195836345464426,0.006194566442814338,0.0525234301365507,0.006916854243415931,0.007303377748659383,0.08243658719853762,0.03528311423774445,0.022606000469667244,0.007870902809658832,0.002775392050141553,0.0038267189589147915,0.0008587316422882956,0.0005139617216158574
benign,0.0,0.0,0.20702416943432644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.009723287763860026,0.008314210792235054,0.042572134344703944,0.007498332358789204,0.006892335655218043,0.08089579676642376,0.040019340559756866,0.02503155309054199,0.009787376657372074,0.002793802611004847,0.0038521034959556858,0.0008644280379253656,0.0005173710862700256
malware,0.008924113427104408,0.008584707376229002,0.0028359475264976225,0.013272488490263865,0.007591010776431927,0.004311106093694523,0.0020660669826655298,0.15413576265441337,0.007699658348852395,0.012587768177603409,0.01988714390463423,0.007140412422862951,0.008547253836186998
malware,0.008261271668931798,0.00965001979519945,0.045005254224853575,0.008776192570554911,0.008031069372167111,0.08494909598028139,0.03251435485220192,0.029332923725369314,0.00916426727390584,0.003051925678325947,0.004208004362429852,0.0009442936718641222,0.000565171675762365
malware,0.009001178309894602,0.008117663710682864,0.05184543103277606,0.010040328080717743,0.008135098768179638,0.0880537835302788,0.02917472133035125,0.02559514623125226,0.007280765018992549,0.002909607900580178,0.0040117761797258695,0.0009002592519326346,0.0005388165198977987
malware,0.006881622677943188,0.0060682394569646905,0.052120521530120915,0.006254582310846176,0.010243855211505408,0.06870445838049792,0.040626588255970604,0.025124499958611865,0.007916550133327111,0.002965955940908315,0.004089469028276898,0.0009176938501214709,0.0005492513468676504
malware,0.008476248998606604,0.008736296075251634,0.05733569004779673,0.0042021323534850285,0.0072100492690645255,0.07312052621740246,0.0325194334743712,0.02856591702471855,0.008880368039893886,0.003131343818654132,0.004317506334686391,0.000968866369644973,0.0005798787453918688
