class,function,new,string,return,var,t,y,e,r,s,m,j,i,push,a,w,o,d,g,c,TRUE,x,eval,p,v,n,h,b,f,k,z,_,u,l,fromcharcode,q,tostring,isnan,parseint,parsefloat,math,break,length
benign,0.1531511794941748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.012157675667502442,0.00330897994055897,0.0028211174274469816,0.017515452032944672,0.005062190298727731,0.04938727296754032,0.000843669993760171,0.04532150459501962,0.027404293990282963,0.004937019912447782,0.0012846199085514375,0.00030912687328800415,0.011320602683568807,0.0014941589778639057,0.011143027377681684,0.00033532521196881113,0.024406833418480885,0.005842069892629935,0.001706373663038224,0.006587619132565255,0.0005075317182155212,0.0004513814844561418,0.0,0.0018933114302893438,0.001216354162640676,0.0351666329480221,0.001082388923967277,0.0005564385223869384,0.004617915517549605,0.0002098088358436189,0.0005877333132994938,0.001481807413633122,0.011723270476549242,0.007073067432280995,0.0,0.00023576770009533192,0.00075194178064642,0.00012833232283485059,0.0005843716952222527,0.0001360590904988118,0.00022059397200098504,0.0016256044101922375,0.005445229488420879
benign,0.005642411876101177,0.0,0.0,0.004584510015910418,0.005486843230199952,0.010329983422016464,0.0,0.016041004351249572,0.0,0.0,0.004294402508697714,0.0,0.0,0.0,0.06499820029778534,0.0,0.0,0.025388567674109557,0.0,0.07949938769179751,0.003223627776539426,0.0,0.0,0.0,0.0,0.0036497327693217293,0.0,0.10350342241157462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037116829568116555,0.0,0.0035028000711945888,0.006883436499017516,0.015927673347085943
malware,0.0010130264428357925,0.00018759757367457934,0.0014118748881095722,0.0013967639254728072,0.00031343963131027987,0.002950536455476741,0.005782186184267443,0.002665754836702493,0.0019420558424318745,0.002703908884984846,0.0053970542652905735,0.0044865220767764695,0.0037683922938347397,0.0003011877888832367,0.00858130846451686,0.004562580417212432,0.003707050848491862,0.0120489710132922,0.003333817973976988,0.004063408270476722,0.0007366076699248237,0.005240910888194078,0.0005005467515895688,0.002798749535066589,0.0037829126453262645,0.004586855975876377,0.0031418567731658683,0.004037943528662401,0.005684923357368268,0.007612666960194808,0.48365581591308854,0.0015361611431770914,0.002913459503599623,0.0036662562397030774,0.0021504272349713418,0.007271370757780806,0.00038976176483296093,0.0004656387468343287,0.00042406479963572735,0.0004936744149547988,0.0060029947101049785,0.0007864419331409069,0.0002599654613818684
malware,0.0055691337997881745,0.0037815123032827326,0.0,0.008798554575989692,0.0031590915567817905,0.003965044141784097,0.006856168003163464,0.0033584471919971557,0.0058720706653894676,0.003406515511916514,0.004945069555470095,0.00753645072088815,0.007596165314723844,0.0,0.06819339802286166,0.006131370693999414,0.008302795368406689,0.09220370264863097,0.004800120598029203,0.004818144708593789,0.007424112455060496,0.006602753641717235,0.005044904532687594,0.005128727798144063,0.00635452901937129,0.0063040838742829865,0.0052776846603786245,0.005813939470273223,0.006031277539587514,0.007672645548366039,0.008597291666543383,0.0038706605774295496,0.005872828066043846,0.004926855859899974,0.0,0.008621953347728684,0.003928326151013418,0.0046930741574878095,0.004274059162389179,0.004975639709514123,0.0,0.007926381423111079,0.0026201367410790734
benign,0.015843225464914637,0.0019559546396289997,0.0,0.010012148310608959,0.006862854071629406,0.06562831682952988,0.0,0.01042276714757738,0.015186389651869314,0.007928958519116024,0.0,0.0,0.009822627562142902,0.0,0.008603035915415684,0.0,0.08374371190548126,0.0,0.0,0.013706790981344398,0.0,0.0,0.0,0.0026527902404193428,0.0,0.02608586430737788,0.0,0.0,0.003119626313579749,0.0,0.0,0.004004131631823672,0.004556504533999536,0.005096747441275835,0.0,0.0,0.006095678510193236,0.0,0.0,0.0,0.0,0.0,0.0040657294258123556
malware,0.0010087802242131274,0.00018681123653941644,0.0014059568496564182,0.001390909226383999,0.0003121258124964045,0.0035258027248798707,0.0060966523860465525,0.00199093576052526,0.004641397172643172,0.0028608610811155155,0.0026872159410713243,0.0029784775304108856,0.0035649668056376128,0.00029992532509749855,0.00920267267023867,0.004240558773394804,0.0034864282946677786,0.010220915774837287,0.003319843886660916,0.0030942875448903224,0.0007335200928652587,0.006197494810414232,0.0004984486514332053,0.004307210022094041,0.3553589611491526,0.0018685757591437597,0.003128687313637628,0.004595449162132129,0.004469285003137455,0.005306530304408847,0.009343763098668406,0.0045891664331200645,0.0037716216172646853,0.004381066438294288,0.0021414134681181684,0.010648370526760726,0.0003881280328845593,0.00046368696765598116,0.0004222872825115057,0.0004916051209998984,0.005977832456829088,0.0007831454699481007,0.0002588757857952378
benign,0.012849418687719882,0.001253154222953753,0.0013310362465568132,0.016742050398238888,0.004113266149442412,0.07958024697589511,0.00285840240365124,0.0386662039685037,0.0043731423581893055,0.003149950932544765,0.0027488627655285662,0.0004833875097945752,0.04703679916821347,0.001233123494051653,0.024163244140504848,0.0007865315175975924,0.0055473001125166165,0.007957374702971517,0.0006670721530788883,0.0028843315262330163,0.0005555458299705134,0.001835167678844635,0.0,0.0029606067172959897,0.006928845053192019,0.013904926174276922,0.0008744851648149228,0.001429471998036079,0.0010315887725630734,0.0010252563293492035,0.0021138141804037665,0.0010758104228812937,0.0012242192615805685,0.0018170474235491157,0.0,0.002857226522425152,0.000335950147025443,0.0,0.00036551720727915233,0.0,0.0018109714653795153,0.0022454229201524585,0.003305089883304798
malware,0.0010373540482979822,0.00019210268782070532,0.0014457807505703316,0.0014303069015155654,0.0003209668145745046,0.002618540543142515,0.0052244506797504845,0.0020473292611312708,0.0029830408244743297,0.002249684659193634,0.0027633316635400935,0.005359975728217865,0.0019294446997066418,0.0003084207468675016,0.008787386685031736,0.0024918132130785794,0.0023198235211912164,0.2677873365702309,0.003170030382627045,0.003916225994669828,0.0007542971398306539,0.004360500788634074,0.0005125672708703529,0.003908128479189211,0.007101890498866313,0.003416006040251865,0.003217307767102733,0.0044302648364920654,0.004595878051255881,0.0062363867757655,0.006987946428471222,0.00471915513750647,0.0035801107052853493,0.0035040138658771363,0.002202069268323486,0.005255993727987313,0.00039912180721503326,0.0004768209581191432,0.0004342486217944671,0.0005055298965947232,0.006147155297355036,0.0008053281618308671,0.0002662084743091423
benign,0.007691050329174821,0.0009258857443604629,0.0009168806384435406,0.015034643515157643,0.004046568308558119,0.05520915199997058,0.002429698712461279,0.05901086013257889,0.023861592995955482,0.0039947540152629225,0.0020073413788312885,0.0008740728928865122,0.012603173766374936,0.0009779664419572451,0.007223150343759234,0.001896300214638994,0.009816771585712805,0.001391054100809117,0.0016701450534379963,0.007512828733760932,0.00014350732838390134,0.0027653285226264196,0.0,0.001586204473652803,0.0027432567287234305,0.038913095048731326,0.00207434770800964,0.0016857427587776742,0.005945782626010887,0.002719043203351367,0.0010525034901051821,0.0008479539924781229,0.010860191075738298,0.019713772480656467,0.00020947519281615167,0.0003333229387008512,0.00020249103871203188,0.00012095551952288169,0.0,0.0,0.00041582756234112583,0.009754760643132836,0.0021271728696904846
