,0
class,malware
pack,67.0
preg_replace,30.0
longest,478336
entropy,7.975659671904112
str_replace,77.0
call_user_func,4.0
error_reporting,5.0
define,12.0
set_time_limit,8.0
shutdown57_login,2.0
md5,22.0
empty,134.0
isset,127.0
ini_get,16.0
function_exists,14.0
substr,47.0
php_uname,4.0
gethostbyname,4.0
phpversion,4.0
getcwd,9.0
explode,38.0
kuchiyose,1.0
fopen,25.0
curl_init,17.0
curl_setopt,117.0
curl_exec,17.0
curl_close,16.0
fclose,30.0
ob_flush,7.0
flush,23.0
alert,23.0
system,5.0
symlink,15.0
rmdir_unlink_rmdir,1.0
scandir,10.0
rmdir,5.0
basename,44.0
htmlspecialchars,234.0
date,16.0
fileperms,9.0
preg_match,27.0
wordwrap,3.0
highlight_string,1.0
str_ireplace,4.0
writable,1.0
shell_exec,6.0
exec,32.0
xss_protect,1.0
strip_tags,4.0
htmlentities,41.0
urlexist,1.0
sabun_massal,3.0
file_put_contents,13.0
sabun_biasa,2.0
file_get_contents,20.0
mkdir,6.0
fwrite,22.0
dechex,4.0
hexdec,3.0
decoct,3.0
octdec,1.0
decbin,1.0
bindec,1.0
hex2bin,1.0
bin2hex,3.0
urlencode,86.0
base64_encode,10.0
convert_uuencode,1.0
str_rot13,5.0
urldecode,6.0
base64_decode,11.0
gzinflate,13.0
convert_uudecode,1.0
ob_clean,7.0
filesize,5.0
readfile,8.0
mail,11.0
fgets,15.0
strpos,17.0
array_push,12.0
sizeof,8.0
read_dir,3.0
opendir,10.0
readdir,16.0
get_pass,2.0
ftp_check,2.0
strstr,4.0
ftp_connect,6.0
ftp_login,2.0
eval,8.0
ftp_quit,2.0
phpinfo,6.0
kirim,1.0
unset,24.0
font,47.0
url,34.0
dirname,9.0
perms,5.0
gzopen,1.0
gzclose,1.0
phardata,1.0
strtoupper,9.0
require,1.0
session_name,5.0
setcookie,26.0
time,14.0
hide_div,2.0
getelementbyid,102.0
show_div,2.0
change_divst,1.0
exit,8.0
chr,334.0
open,5.0
close,3.0
session_id,2.0
write,428.0
destroy,1.0
gc,1.0
read,1.0
session_set_save_handler,1.0
ignore_user_abort,7.0
ini_set,4.0
set_magic_quotes_runtime,2.0
array_merge,14.0
stripslashes,22.0
hlink,107.0
checkthisport,2.0
fsockopen,13.0
socket_set_timeout,3.0
fread,13.0
is_executable,1.0
strlen,33.0
file_add_contents,1.0
get_mime,3.0
get_extension_funcs,1.0
showsize,6.0
checkfunction,1.0
in_array,37.0
is_callable,14.0
is_even,2.0
asc2bin,2.0
str_pad,3.0
rgb2bin,3.0
stegfile,2.0
imagecreatefromjpeg,2.0
getimagesize,2.0
intval,6.0
imagecolorat,1.0
imagecolorallocate,1.0
imagesetpixel,1.0
imagepng,2.0
steg_recover,2.0
imagecreatefrompng,1.0
whereistmp,13.0
getenv,21.0
is_writable,9.0
shell,19.0
passthru,15.0
ob_get_contents,5.0
